id,freq,baud,location,time,demod,demodrate,inforate,isdiff,isDAOPU,isTDMA,codeType,frameLen,poly,transport
2538,20539.89063,66.816,04N2K1,2016/1/14 8:25,8PSK,83.62,0,·ñ,·ñ,,,NA,,NA
2539,20618.00586,15.216,04N2K1,2016/1/13 7:25,8PSK,7.982,0,·ñ,·ñ,,,NA,,NA
2540,19535.00098,34.194,04N2K1,2016/1/7 11:01,QPSK,17.925,0,·ñ,·ñ,,,NA,,NA
2541,19463.59421,66.437,04N2K1,2016/1/7 11:01,8PSK,29.527,0,·ñ,·ñ,,,NA,,NA
2542,12184.80225,133.039,04N2K1,2016/1/13 13:18,8PSK,72.174,0,·ñ,·ñ,,,NA,,NA
2543,20632.12109,529.643,04N2K1,2016/1/7 11:01,8PSK,428.092,0,·ñ,·ñ,,,NA,,NA
2544,19082,139.855,04N2K1,2016/1/7 11:01,8PSK,113.956,0,·ñ,·ñ,,,NA,,NA
2545,20575.40137,255.539,04N2K1,2016/1/13 16:11,QPSK,161.476,0,·ñ,·ñ,,,NA,,NA
2546,20565.73535,553.006,04N2K1,2016/1/24 6:07,8PSK,242.491,0,·ñ,·ñ,,,NA,,NA
2547,20554.50845,256.256,04N2K1,2016/1/13 16:13,8PSK,248.866,0,·ñ,·ñ,,,NA,,NA
2548,12171.90772,115.369,04N2K1,2016/1/13 8:57,,0,0,,,,,NA,,NA
2549,19577.98242,7404.052,04N2K1,2016/1/7 11:01,8PSK,6719.787,0,·ñ,·ñ,,,NA,,NA
